Category,Subcategory 1,Subcagetory 2,Subcagetory 3,Subcategory 4,Subcategory 5
Productname,wrap and strap skirt,"=image(""http://www.lungotavolo.it/wp-content/uploads/2015/12/LTSP104a.jpg"")",,,
Producttype,Skirt,Stone,Mid,,
Suggested Sex,Unisex,Donna,Uomo,,
Collection,LT SP 104,,,,
Series,Summer,,,,
Limited Edition,1/400,,,,
Designer,Sergio Perruci,,,,
Year,2015,,,,
In Collaboration with,cws,,,,
Description,a skirt in Italian linen with a double wrap belted waist in signature black double satin wear it with the belt wrapped twice around your waist and let the extra length of the ribbon flow loosely along your leg,"=image(""https://s-media-cache-ak0.pinimg.com/originals/87/f5/0b/87f50be844c989171fdd531d9468204a.png"")","=image(""https://s-media-cache-ak0.pinimg.com/564x/3f/8a/5c/3f8a5c2d4ce602af1968fb0a3d501241.jpg"")",,
Detail,wrap front panel detail raw cut on the grain taped edges and hems sandwich bonded belt double satin ribbon invisible selvedge ribbon width 2.5 cm ribbon length from waist 40 cm rectangular double ring buckle raw stainless steel nickel free hem label at strap tip entirely made in Italy,"=image(""http://www.lungotavolo.it/wp-content/uploads/2015/12/LTSP104d.jpg"")","=image(""http://www.lungotavolo.it/wp-content/uploads/2015/12/LTSP104e.jpg"")",,
Fabric 1,Linen,100%,Pure,,
Origin,Italy,,,,
Colour 1,White,"=image (""http://www.lungotavolo.it/wp-content/uploads/2016/05/colwhite.jpg"")",,,
Pantone,PANTONE 11-4001 TPG,,,,
HEX/HTML,EFF0F1,,,,
Colour 2,Khaki,"=image(""http://www.lungotavolo.it/wp-content/uploads/2016/05/colkhaki.jpg"")",,,
Pantone,PANTONE 15-1216 TPX,,,,
HEX/HTML,C0B290,,,,
Colour 3,Stone,"=image(""http://www.lungotavolo.it/wp-content/uploads/2016/05/colgrey.jpg"")",,,
Pantone,PANTONE PQ-CoolGray8C,,,,
HEX/HTML,888B8D,,,,
Sizes Available,Short,Mid,Long,,
Price,EUR 190,USD 219,GBP 169,CAD 279,
Aesthetic,#Elegant,#Leisure,#Italian,#Minimalism,#Zen
Quality Trait,"=""Made in Italy""",Fair Labour,Sustainable,Verified Product,
Quality Seal,"=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/666115-200.png"")","=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/580362-200.png"")","=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/580361-200.png"")","=image(""https://d30y9cdsu7xlg0.cloudfront.net/png/204428-200.png"")",
Quality Statement,Produced in Italy according to Italian Law.,Produced under fair labour conditions according International Labour Organization. Excelling standards according to internal code of ethics.,"Produced under ecologically sustainable conditions according to the statues of rainforest Alliance, Certified Supply Chain. Business auditited and advised by Eco Age Ltd",This Garment was designed to inspire you. Believe in the beauty of imagination -  unapolagetically! Have the courage to be who you want to be. This will set you free. ,
Designed by,Sergio Perruci,"=image(""https://s-media-cache-ak0.pinimg.com/originals/1b/cd/ce/1bcdce55fba1809a7639b5e2235f068b.png"")",CWS,"=image(""https://s-media-cache-ak0.pinimg.com/originals/8d/3b/cc/8d3bcc1b1b148d4f741cc19303a35820.png"")",
Country of Production,Italy,"=image (""https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/2000px-Flag_of_Italy.svg.png"")",,,
Designed Studio,10144 Turin,"Via Treviso, 45","=image(""https://s-media-cache-ak0.pinimg.com/564x/91/70/13/9170135385ce2441ad75970fc18d408d.jpg"")","=image(""https://s-media-cache-ak0.pinimg.com/564x/6b/ce/b9/6bceb98a5d7620cac2374534e3dbfb1b.jpg"")",
Produced in,12051 Alba,,"=image(""https://s-media-cache-ak0.pinimg.com/originals/e0/01/86/e0018641c80d305614bf19643425cd26.png"")","=image(""http://www.anselmaitalia.com/img_sito/testata/homepage/ristorante-italia_05.jpg"")",
